# CSV-File created with merge-csv.com
# -----------------------------------------------------------

,Name,Brand Name,Technical Name,Category,Product Brief,Mode,Crop,Target,Pack Sizes,Dosage,Features,Benefits,Image Link,Product Link
10,Dhanuka M-45,Dhanuka,Mancozeb 75% WP,Fungicides,"Dhanuka M-45 (Mancozeb 75% WP) is a contact fungicide of Dithiocarbamate group, which checks the growth of fungus and spread of diseases. It reduces the activity of enzymes in fungus which in turn reduces the energy production and finally results in death of the fungus.","It is a broad-spectrum fungicide with protective action. The product is fungitoxic when exposed to air. It is converted to an isothiocyanate, which inactivates the sulphahydral (SH) groups in enzymes of fungi. Some times the metals are exchanged between mancozeb and enzymes of fungi, thus causing disturbance in fungal enzyme functioning.","Paddy, Wheat, Potato, Tomato, Groundnut, Grapes, Chilli, Banana",Mancozeb 75% WP,,"600-800 gm, 600-800 gm, 600-800 gm, 600-800 gm, 600-800 gm, 600-800 gm, 600-800 gm, 600-800 gm","Broad spectrum fungicide, which controls large number of diseases (with its multisite action), caused by phycomycetes, advance fungi and other group of fungi infecting many crops.
 Used for foliar sprays, nursery drenching and seed treatments in many crops.
It can be used repeatedly, without any danger of resistance development, for number of years.
Best fungicide to be used along with systemic fungicides to prevent and/or delay resistance development.
In addition to disease control, it also provides manganese and zinc in traces to crop, there by keeps plants green and healthy.
It is quite safe to natural enemies and environment. Thus part of Integrated Disease Management.
As compared to other fungicides, it is less expensive in the long run on account of nutritional benefits and superior crop protection, which results in high yields and better quality.",,https://www.dhanuka.com/storage/products/July2022/nyV4w38EgB4rTBXuxdZU.webp,https://www.dhanuka.com/fungicide/dhanuka-m-45
11,Vitavax Power,Dhanuka,Carboxin 37.5% + Thiram 37.5% WS,Fungicides,"Vitavax Power  (Carboxin 37.5% + Thiram 37.5% DS) is a broad spectrum, dual action (systemic and contact) fungicide which controls seed and soil borne diseases, and also acts as plant growth stimulant. World wide, it is a specialized seed treatment fungicide for effective control and prevention of disease present externally and within the seeds, with increased level of disease control.","Vitavax Power protects the seed and emerging seedlings from seed and early seed borne diseases such as bunt, loose smut, covered smut, collar and charcoal rot, seedling diseases and blight in most of the crops. ","Wheat, Soybean, Groundnut, Cotton, Arhar",Carboxin 37.5% + Thiram 37.5% WS,"10gm, 100gm, 250gm, 500gm, 1kg","3 gm/ kg seed, 3 gm/ kg seed, 3 gm/ kg seed, 3 gm/ kg seed, 3 gm/ kg seed","Vitavax Power encourages early emergence and uniform growth of seedlings, gives higher yield through the impact of combined action of carboxin and thiram on effective disease control and germination stimulation.
Under adverse weather conditions also it stimulates germination & the treated seeds can be stored for months together without loss of germination.",,https://www.dhanuka.com/storage/products/August2021/qrw7XHvhFosoxEGWRyjn.png,https://www.dhanuka.com/fungicide/vitavax-power
12,Dhanustin,Dhanuka,Carbendazim 50% WP,Fungicides,Dhanustin (Carbendazim 50% WP) is a broad spectrum systemic fungicide which effectively controls the diseases of crops. It is used both as curative and preventive for control of diseases in field crops and vegetables.,It is a broad-spectrum systemic fungicide with protective and curative action. It is taken and translocated within the plant as a result of which the latter become fungitoxic.,"Paddy, Wheat, Groundnut, Pea, Cotton, Pumpkin, Brinjal, Apple, Grapes, ",Carbendazim 50% WP,,"100 or 200 Seed treatment @2gm/kg seed, Seed treatment@ 2gm/kg seed, 90 gm, 100 gm, 100 gm, 120 gm, 120 gm, 2.5 g /10 litre of water, 120 gm, ","Dhanustin formulation is one of the best in the industry. Broad spectrum fungicide, which controls large no. of diseases with its strong mode of action.
As compare to other fungicides, it is less expensive in the long run with respect to the superior protection and cost per acre.
Dhanustin is rapidly absorbed by the plants and translocated in whole plant. It remains effective even if it rain a few hours after its application.",,https://www.dhanuka.com/storage/products/July2022/s5klhrQEvLH344PLkyU5.png,https://www.dhanuka.com/fungicide/dhanustin
13,Dhanucop,Dhanuka,Copper Oxychloride 50% WP,Fungicides,"Dhanucop (Copper Oxychloride 50% WP) is a copper based broad spectrum fungicide which controls the fungal as well as bacterial diseases by its contact action. It also effectively controls the fungus resistant to other fungicides. Due to its fine particles, it sticks to the leaves and helps to restrict the growth of the fungus.","It is a broad-spectrum contact fungicide with protective action. Copper because of its strong bonding affinity to amino acids and carboxyl groups, reacts with protein and acts as an enzyme inhibitor in target organisms. Copper kills spores by combining with sulphahydral groups of certain enzymes. Spores actively accumulate copper and thus germination of spores is inhibited, even at lower concentrations.","Potato, Tomato, Chilli, Cumin, Banana, Citrus, Grapes, Tea",Copper Oxychloride 50% WP,"500 gm, 25 kg","1 kg, 1 kg, 1 kg, 1 kg, 1 kg, 1 kg, 1 kg, 0.168 kg, 0.240 kg, 0.240 kg","Dhanucop due to less solubility, gradually releases copper ions, thereby it controls the disease for a longer period.
Provides thickness to leaves and hence preferred by the farmers. Provides Copper nutrition to crop.
Very high Suspensibility and smallest particle size.
Ideal fungicide during hailstorms/ rains.
Being natural compound, safe to mammals.",,https://www.dhanuka.com/storage/products/July2022/LXOqWDb8prQtiG4wUsCK.png,https://www.dhanuka.com/fungicide/dhanucop
14,Hexadhan Plus,Dhanuka,Hexaconazole 5% SC,Fungicides,"Hexadhan Plus (Hexaconazole 5% SC) is a unique systemic triazole fungicide, acting as protective, curative and eradicant with strong antisporulant and translaminar action.","Hexadhan Plus is a unique systemic triazole fungicide, acting as protective, curative and eradicant with strong antisporulant and translaminar action. It is potent ergosterol biosynthesis inhibitor. Ergosterol, a principal sterol in most fungi is an indispensable component in the membrane structures.
First spray at the appearance of disease symptoms. Repeat spray at an interval of 7 to 10 days.","Paddy, Mango, Grapes",Hexaconazole 5% SC,"100,250,500,1,5lit","0.2%or (200ml/100 lt. water), 0.2% or (200 ml/100 lt. water), 500-1000 ml","Hexadhan Plus is a potent ergosterol biosynthesis inhibitor
Hexadhan Plus keeps the plant green which increases the crop yield and gives more profit to the farmer.
Hexadhan Plus is a broad-spectrum fungicide controlling wide range of diseases affecting many crops.
Hexadhan Plus gives excellent control of diseases belonging to Ascomycetes, Basidiomycetes and Deuteromycetes.
Hexadhan Plus is effective at lower doses and provides long period control.
Hexadhan Plus is a safe fungicide with low toxicity to mammals, fish, birds and natural enemies.",,https://www.dhanuka.com/storage/products/August2021/drQ4QVdVsBNR4V6WPPWh.png,https://www.dhanuka.com/fungicide/hexadhan-plus
15,Zerox,Dhanuka,Propiconazole 25% EC,Fungicides,Zerox (Propiconazole 25% EC) is a systemic fungicide of Triazole group with a broad range of activity. It's a broad-spectrum systemic foliar fungicide for the control of a wide range of leaf and stem diseases in cereals.,"It is a systemic specialty fungicide. It is rapidly absorbed by the Leaves or stems and translocated upward through the xylem. It is a potent ergosterol biosynthesis inhibitor. Ergosterol, a principal sterol in most fungi is an indispensable component in the membrane structures.
First spray at the initiation of infestation and subsequent spray after 7 to 10 days of the first spray or as and when required","Wheat, Paddy, Groundnut, Tea, Soybean, Banana, Coffee",Propiconazole 25% EC,"250 ml, 500 ml, 1 ltr","200 ml, 200 ml, 200 ml, 50-100 ml, 200 ml, 200 ml, 320 ml","Zerox has both, curative and protective action, hence controls the plant diseases very effectively.
Zerox has a long residual effect, hence gives control of diseases for a longer period.
Zerox application in rice prevents the black dirty grains.
Zerox application makes the crop healthy and gives higher yield.",,https://www.dhanuka.com/storage/products/August2021/JvHr73KPlM7grRdzeIHR.png,https://www.dhanuka.com/fungicide/zerox
16,Kirari,Dhanuka,Amisulbrom 20% SC,Fungicides,"Kirari is the Downy Mildew expert and has a world class chemistry with unique mode of action which effectively control different stages of Oomycetes fungi. Kirari has Japanese technology with preventive & curative action. It quickly penetrates into wax layer of leaves and thus not affected by rains. It is safe for bees, it has Blue Triangle and registered in many countries like EU, Japan, USA, Australia and Canada etc. which is now available in India.","It is a Contact and locally systemic fungicide with preventive and curative action and inhibits the mitochondrial respiration of the fungi. It targets the Complex III, Cytochrome BC1 (Ubiquinone reductase) at Qi site.","Grapes, Potato",Amisulbrom 20% SC,150 ml,"150 ml, 200 ml","Clear effective control on mycelium growth.
It can save 2-3 sprays as KIRARI gives long duration control.
Healthy Plant & Healthy Bunches in KIRARI sprayed plant.
More healthy greener leaves.
Strong erect and Vigorous plants.
Contact and locally systemic
Environmentally Safe: Safe for Bees
It has Phytotonic effect on plant",,https://www.dhanuka.com/storage/products/August2021/T0hW5T9HBytryYYdlUN3.png,https://www.dhanuka.com/fungicide/kirari
17,Nissodium,Dhanuka,Cyflufenamid 5% EW,Fungicides,"Nissodium is a world class chemistry for powdery mildew with unique mode of action control both primary and secondary infection. Nissodium has japanese technology with preventive & curative action to protect the plants against Powdery Mildew. Its five action formula not only control all the disease causing stages of fungus but gives the longer duration effective control. Its unique EW formulation makes it more effective with high level of crop safety against disease. Its registered in many countries like EU, Japan, USA, Korea, Australia and Canada etc. which is now available in India. ","It’s a new chemistry with unique fast penetrative action due to its molecular structure. Fast penetration help in faster and better control of Powdery Mildew. After fast penetration, it exhibits translaminar action and moves to other side of the leaf fast. Vapor action improves control of disease in dense canopy as the vapor activity covers the chemical on the same leaf and the adjoining leafs too. As a result, there is thorough coverage with no wastage of chemical.","Grapes, Chilli",Cyflufenamid 5% EW,"60 ml, 120 ml, 200 ml","200 ml, 120 ml","Five action formula
Unique EW formulation
Lush green & healthy Crop Canopy.
Clear Visible results in 2-3 days of spraying.
Tendrils appears as soft which act as a support for the branches to hold weight of the bunches.
More freshness and healthier bunches.
Less berry drop and firm berries.Lush green & healthy Crop Canopy.",,https://www.dhanuka.com/storage/products/August2021/JTaCaTRn4rtc8nXYN7hH.png,https://www.dhanuka.com/fungicide/nissodium
18,ZANET,Dhanuka,Thiophanate Methyl 38% + Kasugamicin 2.21% SC (W/W),Fungicides,"ZANET  is a unique combination of fungicide and bactericide containing Thiophanate Methyl and Kasugamycin in Suspension concentrate formulation. ZANET is a broad spectrum, strong systemic fungicide providing excellent control against Bacterial Leaf Spot & Powdery Mildew. ZANET has Japanese technology with preventive & curative action.",It is a systemic fungicide with preventive and curative action and inhibits the hyphal growth of fungi and prevent development of lesion of the fungi. It kills bacteria and fungi by inhibiting the protein synthesis by interfering in the formation of amino acids in them,"Tomato, Tomato",Thiophanate Methyl 38% + Kasugamicin 2.21% SC (W/W),"100 ml, 400ml, 1lit","400-500ml/acre, 400-500ml/acre","Broad spectrum disease control: ZANET is an effective preventive fungicide and bactericide which controls wide range of the fungal and bacterial diseases caused on tomato.
Cost effective: Cost benefits for disease control over modern fungicides
Efficacy: Superior preventative activity",,https://www.dhanuka.com/storage/products/July2022/b7j5JHa8YTKHTGfaFg5W.webp,https://www.dhanuka.com/fungicide/zanet
0,Targa Super,Dhanuka,Quizalofop Ethyl 5% EC,Herbicides,"Targa Super  (Quizalofop Ethyl 5% EC) is selective, systemic herbicide of Aryloxyphenoxy-propionates group. It is used to control narrow leaf weeds in broad leaf crops.","Targa Super effectively controls the narrow leaf weeds like Echinochloa spp., Goose grass, fox tail, Cynodon (doob), Large crab grass, Saccharum sp. (kans), Hemarthria sp. (suttu), Wild sorghum, Volunteer paddy, Volunteer maize, Volunteer pearl millet, etc. Targa Super is very quickly absorbed by the weeds and translocated and kill the weeds. The affected weeds are unable to regenerate.  It is quickly absorbed by the weeds, hence rain even one hour after spray does not affect its effectiveness. Weed leaves turn purplish/red within 5-8 days after Targa Super application and within 10-15 days are completely killed.","Soybean, Cotton, Groundnut, Black Gram, Onion",Quizalofop Ethyl 5% EC,"100 ml, 250 ml, 500 ml, 1 Ltr","300-400 ml (for annual weeds), 300-400 ml (for annual weeds), 300-400 ml (for annual weeds), 300-400 ml (for annual weeds), 300-400 ml (for annual weeds)","It is a very effective weedicide for control of narrow leaf weeds in broad leaf crops.
It does not burn the weeds but kills the weeds - so they do not regerminate.
These dead weeds turn into organic manure to boost plant health and vigour.
Targa Super is strictly not recommended on paddy, wheat, sorghum, maize, barley, pearl millet, sugarcane crop.
Targa Super is recommended at 500-600 ml for control of perennial weeds like Kans and Doob.",,https://www.dhanuka.com/storage/products/July2022/ByQDaqrsV0rbg6S1ENvV.webp,https://www.dhanuka.com/herbicide/targa-super
1,Sakura,Dhanuka,Quizalofop Ethyl 10% EC,Herbicides,"Sakura is a Selective, systemic post-emergence Grassy Herbicide. Sakura belongs to a new chemical class of Aryloxy phenoxy-propionates group. It acts as Acetyl CoA Carboxylase inhibitor . Sakura is safe for broadleaf crops. Sakura has excellent translocation activity and absorbed by leaves within one hour – rain fastness. It gets trans-located in the whole plant within one day. Weed leaves turn purplish/red within 5-8 days after Sakura application and within 10-15 days are completely killed. Sakura is safe for the operators and wildlife and it does not cause environmental hazard due to its less dose It is a CIB 9(3) registered under The Insecticides Act, 1968.","Quizalofop Ethyl is a selective systemic herbicide, has a high selectivity between grass weeds & dicotyledons crop. It is absorbed in few hours by stem and leave & conducted to the whole body of annual weeds in 24 hours, mainly accumulating in the top organs & intraformational meristem. Weeds conduct Quizalofop Ethyl rapidly to subterranean stem after administration, having its internode & growth point destroyed & lose reproductivity.  ",Soybean,Quizalofop Ethyl 10% EC,"100 ml, 150 ml, 250 ml, 450 ml, 1 Ltr",150-180 ml,"Faster result in comparison with the competition.
No re-germination of targeted weeds.
Longer duration of control.
Better control of rigid weed example: Cynadon & Sacharum
Sakura has a fast killing speed in normal condition. Sakura can kill the grass weeds within 7-10 days.",,https://www.dhanuka.com/storage/products/August2021/NpjQyVNZfV8H6vonKuY5.png,https://www.dhanuka.com/herbicide/sakura
2,Sempra,Dhanuka,Halosulfuron Methyl 75% WG,Herbicides,"SEMPRA is the first herbicide introduced in India by Dhanuka Agritech Ltd for effective control of  Cyperus rotundus. It is a selective, systemic, post-emergence herbicide with WDG formulation for effective control of Cyperus rotundus from nuts in Sugarcane and Maize crop.SEMPRA has strong systemic action i.e. moves in both ways through Xylem & Phloem. SEMPRA stops the metabolic functions of Cyperus by stopping formation of the amino acids (Valin, Isoleucine, Lucine) which is responsible for the protein required for growth of the Cyperus resulting in yellowing of its leaves & nuts becoming darker & further destroying it in 14-30 days. SEMPRA has been extensively evaluated and recommended by institution/ universities like Vasantdada Sugar Institute (Maharashtra), Tamil Nadu Agricultural University, Regional Research Station (Haryana Agricultural University, Hisar), Agricultural Research Station (University of Agricultural Sciences, Dharward), U. P. Council of Sugarcane Research, Narendra Deva University of Agriculture & Technology, Faizabad (UP).SEMPRA is internationally registered in countries like India, Japan, U.S.A, Australia, Mexico, Brazil, Colombia & South Africa.","SEMPRA, being a sulfonylurea group herbicide, inhibits acetolactate synthase (ALS), which is the first enzyme in the biosynthetic pathway of the essential branched chain Amino acide (Valine, Leucine & isoleucine). Inhibition of ALS leads to the starvation of the plant (Cyperus rotundus) for these amino acids, resulting in death (killing) of weeds. For crop plants, in the grass family like maize sugarcane, etc. there is no effect of Sempra as these plant have strong MFO (mixed function oxidases) which breaks down the herbicide molecule to acid metabolite forms. ","Sugarcane, Maize",Halosulfuron Methyl 75% WG,"3.6 gm, 18 gm, 36 gm","36 gm, 36 gm","Efficacy at Low Dose: Sempra provides outstanding control of Cyperus rotundus at 36 gm/acre. It also offers soil residual activity and controls late emerging weeds. Compared to traditional herbicides it's dosage is low.
Nutrient uptake checked: Sempra checks nutrient uptake by Cyperus rotundus within 24 hrs of application resulting in good healthy crop.
Safe to Crop: Sempra does not harm the crop of Sugarcane & Maize.
Strong Soil Residual Action: Sempra has strong residual action due to which it controls new germinating Cyperus rotundus.
Reduced Weeding Expenses: Sempra gives freedom from repeated manual weeding which leads to saving manual labour cost in herbicides application.
Increase Yield: Sempra results in more yield hence more profits.",,https://www.dhanuka.com/storage/products/August2021/os1Q47owxdVjodFovdBp.png,https://www.dhanuka.com/herbicide/sempra
3,Max-Soy,Dhanuka,Quizalofop-ethyl 10% EC,Herbicides,"MAX-SOY is the first of its kind herbicide introduced in India by Dhanuka Agritech Ltd for effective control of Narrow and Broad-leaved weeds. It is a selective, systemic and post-emergence herbicide with EC & WP formulation. which delivers Excellent solution for Narrow and Broad leave weeds in the Soybean crop. It is a CIB 9(3) registered under The Insecticides Act, 1968.","MAX-SOY is the chemistry of Quizalofop-ethyl 10% EC and Chlorimuron ethyl 25% WP from the group Aryloxyphenoxy-propionates & Sulfonylureas respectively.  These chemicals block the function of an enzyme called Acetyl Carboxylase(ACCase) & acetolactate (ALS) actohydroxyacid synthase (AHAS) respectively. Acetyl CoA carboxylase ACCase & acetolactate (ALS) actohydroxyacid synthase (AHAS)  helps the formation of lipids and Amino Acid(Proteins) in the weed plants. Without lipids and Amino acid, susceptible weeds will die.",Soybean,Quizalofop-ethyl 10% EC,"150 ml, 450 ml",150 ml,"Efficacy at Low Dose: Provides outstanding control of Narrow and Broad leave weed in Soybean crop at 150 ml/acre and Safe to environment.
No Phyto-toxicity: Maintains excellent crop health.
Safe to Crop: Max-Soy does not harm the Soybean crop
Rain fastness: Absorb by plants in an hour to give optimum efficacy
Reduced Weeding Expenses: Max-Soy gives freedom from repeated manual weeding which leads to saving manual labor cost in herbicides application.
Increase Yield: Max-Soy results in more yield hence more profits.",,https://www.dhanuka.com/storage/products/May2019/xfNaupfvVF8HmQMeUYSA.png,https://www.dhanuka.com/herbicide/max-soy
4,Chempa,Dhanuka,Pyrazosulfuron-Ethyl 70% WDG,Herbicides,"Chempa (Pyrazosulfuron-Ethyl 70% WDG) is a broad spectrum herbicide for paddy, which effectively controls major broadleaf weeds, Sedges and Grassy Weeds. It is a pre and early postemergence Herbicide which gives the longer duration of control by inhibiting shoot growth and killing the weeds."," It inhibits the catalysis of Acetolactate synthase (ALS) in the biosynthesis of Valine, Leucine and isoleucine & stops cell division of roots and kills weeds.",Paddy,Pyrazosulfuron-Ethyl 70% WDG,"3 gm, 6 gm,12 gm",12 gm,"Longer duration of control on broadleaf weeds, sedges and grassy weeds.
It is a selective and systemic herbicide.
It has a wide application window.
It is safe to Environment.",,https://www.dhanuka.com/storage/products/August2021/ewAkNgH01FWEycfMnDaa.png,https://www.dhanuka.com/herbicide/chempa
